actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
-23.901138,0.50248545,23.848116,1.0,0.2460382,-1.0,3386,0.96432656,1000,677.2,29,5,408.7274886767466,204.57769099622965,107.91634671210777,-9.912886533886194,5,90.48576046493486,0.9999760076154092,0.00044095474603299555,-0.9999933788910853,20000,0.5778860829801588,1000,818.4583333333334,22,24,306.1764168970054,531.6160009428859,404.4174336502959,5.160642355680466,24,155.3976241713061,24.0,50.58740305900574,20000.0,1.0,50.58740305900574,20000.0,395.3553412629576,20000.0
-155.45273,8.1010895,155.60345,1.0,-0.32686758,-1.0,5000,0.9191322,1000,1000.0,1000,5,0.0,299.7973583340645,172.63348077394767,80.27188261039555,5,103.36844892940047,1.0,-0.21049232397382758,-1.0,20000,0.9349363118443801,1000,968.85,377,20,135.779702091292,386.0912147304043,171.98522973307263,-43.210120702628046,20,86.82758749949637,44.0,106.97064399719238,20000.0,2.0,157.59986901283264,40000.0,186.96718326314772,40000.0
-172.55804,4.487926,172.9013,1.0,0.18132834,-1.0,5000,0.9690294,1000,1000.0,1000,5,0.0,275.976462577004,179.08360087228212,37.72821926962206,5,83.20740128421636,1.0,-0.30455872,-1.0,20000,0.89636874,1000,521.025,20,40,483.77264740268225,432.75194112816826,114.88425713181331,-2.9877264387905598,40,130.99686061086157,84.0,100.83414793014526,20000.0,3.0,258.52412509918213,60000.0,198.34550507488171,60000.0
-141.40906,2.9327445,141.41182,1.0,-0.23525609,-1.0,4138,0.95649636,1000,827.6,138,5,344.8,191.46248831879348,103.13287760689855,-35.568949315696955,5,83.6042970013639,1.0,0.073354855,-1.0,20000,0.9325545,1000,570.6470588235294,20,34,448.770010686264,461.19248805660754,126.89426135375888,-3.039483425207436,34,123.43442423775579,118.0,102.94722390174866,20000.0,4.0,361.5449290275574,80000.0,194.27430135549562,80000.0
-120.716736,2.8539922,120.74263,1.0,0.100461364,-1.0,4044,0.9043247,1000,808.8,44,5,382.40000000000003,524.184333789628,322.5270293499343,8.843958600773476,5,185.54002684048754,1.0,-0.054496422,-1.0,20000,0.89826006,1000,854.5,27,24,330.4280052699327,470.2948585251579,278.67989879051976,-2.9164764690212905,24,138.8558526673635,142.0,92.99455404281616,20000.0,5.0,454.6137521266937,100000.0,215.06635744273458,100000.0
-104.826035,1.829797,104.77126,1.0,-0.002161412,-1.0,5000,0.9010158,1000,1000.0,1000,5,0.0,496.6676490306854,292.36772407162937,163.2651081457734,5,117.71757544854482,1.0,-0.05758557,-1.0,20000,0.88479143,1000,905.9090909090909,61,22,263.9953355460711,534.4640395701863,327.8720612855015,9.241368371993303,22,138.12433403777806,164.0,99.64967703819275,20000.0,6.0,554.3266072273254,120000.0,200.70310907615482,120000.0
-90.59751,1.1880041,90.55531,1.0,-0.036827303,-1.0,5000,0.8791455,1000,1000.0,1000,5,0.0,530.4815539428382,378.7281079536304,194.28241876343964,5,113.65712953761162,1.0,-0.13242911,-1.0,20000,0.87406516,1000,906.8181818181819,81,22,227.7090720362351,564.0796149587259,324.1201272811161,26.676878079771996,22,147.70313366272495,186.0,97.66186475753784,20000.0,7.0,652.0734100341797,140000.0,204.78822567696608,140000.0
-82.94875,1.1205792,82.902435,1.0,-0.07964303,-1.0,5000,0.8713341,1000,1000.0,1000,5,0.0,535.4236934450164,414.93413572455177,272.19482841109857,5,100.3115744068878,1.0,0.011160133,-1.0,20000,0.83798945,1000,1000.0,1000,20,0.0,689.4884227896109,448.32088689994055,278.08424672321416,20,112.66982188102075,206.0,108.01696610450745,20000.0,8.0,760.1703071594238,160000.0,185.15609835449192,160000.0
-81.1204,1.1279299,81.097275,1.0,0.13552041,-1.0,5000,0.8382115,1000,1000.0,1000,5,0.0,631.1081319749355,490.70299323315265,366.12730274081696,5,108.55250011719505,1.0,-0.01257879,-1.0,20000,0.87250936,1000,981.15,623,20,82.16524508574172,594.4017534482991,429.61576880191785,200.12905140407383,20,94.31565179377809,226.0,98.90676403045654,20000.0,9.0,859.1799921989441,180000.0,202.21063944465277,180000.0
-79.075195,1.0208908,79.04073,1.0,0.091182806,-1.0,5000,0.9192543,1000,1000.0,1000,5,0.0,528.5099948588759,413.81982066188937,269.58250823454,5,84.81752738915279,1.0,0.056159645,-1.0,20000,0.8651774,1000,1000.0,1000,20,0.0,626.1792893684469,445.2111062180714,289.4549450650811,20,104.37630614471509,246.0,98.27847719192505,20000.0,10.0,957.5347280502319,200000.0,203.50335670080244,200000.0
-77.44769,1.0485272,77.38932,1.0,-0.30446577,-1.0,2501,0.8573975,1000,500.2,125,5,408.76418629816385,344.93164064805023,160.5605006046244,63.578091983741615,5,109.38004278204572,1.0,-0.0021902462,-1.0,20000,0.8580462,1000,461.02272727272725,20,44,462.55704752035047,522.1809989634203,176.7618229352123,-0.08076954260468483,44,195.54185929688063,290.0,96.50780391693115,20000.0,11.0,1054.118322134018,220000.0,207.2371268256705,220000.0
-75.44234,1.0335443,75.379395,1.0,-0.16240102,-1.0,5000,0.9132874,1000,1000.0,1000,5,0.0,702.4690604060888,590.6591459795833,427.4894152134657,5,103.35199469267977,1.0,0.04105118,-1.0,20000,0.8525254,1000,882.3478260869565,123,23,287.8292985503209,644.9700101269409,415.22135044819976,95.6989475786686,23,146.74892117124884,313.0,98.7710509300232,20000.0,12.0,1152.9685599803925,240000.0,202.4884802954005,240000.0
-75.91164,0.9628585,75.82604,1.0,-0.124737136,-1.0,5000,0.83737123,1000,1000.0,1000,5,0.0,786.1749032256193,740.7825402119197,677.1201385241002,5,36.82702631811339,1.0,-0.08478494,-1.0,20000,0.85856926,1000,1000.0,1000,20,0.0,803.9435750728007,641.3461217777673,364.5851182155311,20,96.87548485975364,333.0,96.59193110466003,20000.0,13.0,1249.625470161438,260000.0,207.05663269460308,260000.0
-79.180664,1.0260293,79.107765,1.0,-0.02382156,-1.0,5000,0.8875781,1000,1000.0,1000,5,0.0,775.6046929042786,647.7881290132179,577.446901013027,5,70.86990702162961,1.0,-0.070186295,-1.0,20000,0.8866687,1000,1000.0,1000,20,0.0,797.7681139083579,650.1868413525444,250.5470988303423,20,131.95945873894195,353.0,102.35797500610352,20000.0,14.0,1352.0806741714478,280000.0,195.39268922433664,280000.0
-83.89856,1.1855689,83.835236,1.0,-0.1334543,-1.0,5000,0.9067465,1000,1000.0,1000,5,0.0,861.7544055320323,763.9230744536966,626.621036246419,5,93.55359696847259,1.0,-0.04105672,-1.0,20000,0.89661205,1000,982.8,656,20,74.97306182889959,793.2743573319167,656.2914693455137,359.85879936185665,20,92.56660449915397,373.0,102.90278196334839,20000.0,15.0,1455.0791370868683,300000.0,194.35820507868817,300000.0
-87.21693,1.2895153,87.15715,1.0,0.0019029907,-1.0,5000,0.8824524,1000,1000.0,1000,5,0.0,691.935923261568,583.3131540126167,427.1312806736678,5,94.2980674232439,1.0,-0.076814204,-1.0,20000,0.8944565,1000,975.5714285714286,635,21,82.40352016785705,868.0825345339254,685.7964278170548,431.93559180479497,21,129.60924117416778,394.0,100.38223099708557,20000.0,16.0,1555.5340712070465,320000.0,199.23844889022905,320000.0
-88.08126,1.2363914,88.02259,1.0,-0.026281452,-1.0,5000,0.90232205,1000,1000.0,1000,5,0.0,1118.2483097743243,933.2827947878744,539.1528663150966,5,222.2764613845617,1.0,-0.034274187,-1.0,20000,0.9037159,1000,1000.0,1000,20,0.0,1025.585328224115,813.4880489673494,570.1753198844381,20,138.152471177031,414.0,112.98031187057495,20000.0,17.0,1668.6120240688324,340000.0,177.02199320277217,340000.0
-90.540184,1.3731185,90.46832,1.0,-0.11095165,-1.0,5000,0.9242722,1000,1000.0,1000,5,0.0,1017.817334190011,901.109536653728,611.7885393723845,5,146.68632688578796,1.0,-0.012300698,-1.0,20000,0.8992211,1000,1000.0,1000,20,0.0,976.4937964901328,733.1746498235589,429.5023139551049,20,185.77280784082984,434.0,103.69878077507019,20000.0,18.0,1772.4194769859314,360000.0,192.8662984320074,360000.0
-93.23276,1.4030998,93.17161,1.0,-0.08046718,-1.0,5000,0.9524756,1000,1000.0,1000,5,0.0,1148.0490935607813,1057.3061439476442,930.9969668164849,5,70.58625749969289,1.0,-0.092575714,-1.0,20000,0.9046854,1000,1000.0,1000,20,0.0,1121.0652148015797,886.9849743598373,427.3630917511182,20,156.69229147359863,454.0,97.35642218589783,20000.0,19.0,1869.873292207718,380000.0,205.4307209627206,380000.0
