actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
-4.45148,0.6531616,4.3940125,1.0,0.5255911,-1.0,8000,0.82333946,1600,1600.0,1600,5,0.0,-175.61572560225613,-178.07471692203544,-186.93864433839917,5,4.439386086248973,0.9999559035614456,-0.0024465180495724242,-0.9998732805583885,20000,0.5781033189948392,1600,1089.611111111111,42,18,721.8723447388503,-77.59893127139003,-92.30184995096482,-107.8210519514978,18,8.341085425442692,18.0,32.28272795677185,20000.0,1.0,32.28272795677185,20000.0,619.526330822506,20000.0
-5.30733,0.28418532,5.2597156,1.0,-0.28071436,-1.0,8000,0.9504583,1600,1600.0,1600,5,0.0,-144.43334211263573,-148.2467657997935,-151.7749013369321,5,2.5633827264765916,1.0,-0.08080688526402867,-1.0,20000,0.9413182588864388,1600,1404.5,44,14,477.96992583215945,-116.6861029066713,-161.88371075318068,-284.3723765751929,14,39.289855563808274,32.0,59.76222109794617,20000.0,2.0,92.09754300117493,40000.0,334.6595831373365,40000.0
1.1165476,0.9190084,-1.1725812,1.0,-0.27366203,-1.0,8000,0.8828269,1600,1600.0,1600,5,0.0,-143.80923826457,-153.8363597725227,-171.20386617595796,5,9.659604786642102,1.0,-0.11484302,-1.0,20000,0.9096456,1600,327.74603174603175,46,63,468.0956342476537,-99.12113602554018,-127.51762728003325,-281.4767902493004,63,34.3372778337668,95.0,59.59337306022644,20000.0,3.0,151.76646900177002,60000.0,335.6077861172171,60000.0
-2.5728438,1.0854391,2.54154,1.0,-0.011906705,-1.0,305,0.9623643,69,61.0,54,5,5.89915248150105,-109.56171453557909,-111.71920856945216,-115.55781191587448,5,2.186330655917061,1.0,0.019429026,-1.0,20000,0.9234681,1600,1087.6470588235295,100,17,563.777484388224,-32.014525542996125,-131.774764590715,-206.83247133197438,17,49.01374603184494,112.0,57.75976490974426,20000.0,4.0,209.59833598136902,80000.0,346.2617971394467,80000.0
-1.7468023,0.8821995,1.7207506,1.0,-0.14630081,-1.0,4323,0.8923975,1600,864.6,127,5,621.6122907407799,-88.8052859363961,-120.45994857856422,-148.17063123267144,5,20.570441744691024,1.0,0.18583912,-1.0,20000,0.90730524,1600,447.3829787234043,55,47,552.4312820726246,-103.11479268416588,-124.41630996879805,-208.86323495247052,47,18.607938401812564,159.0,58.903319120407104,20000.0,5.0,268.56582713127136,100000.0,339.5394401988968,100000.0
-2.2997825,1.0835359,2.2691476,1.0,0.04080925,-1.0,544,0.94524515,195,108.8,83,5,43.15738638981745,-100.85840722545981,-113.34360156661133,-125.38083922863007,5,10.090844315929768,1.0,-0.029253526,-1.0,20000,0.8929876,1600,637.21875,45,32,699.1142938736394,-51.83159541644636,-116.0379807540011,-153.1175561355867,32,22.930207401272792,191.0,58.09089207649231,20000.0,6.0,326.7304530143738,120000.0,344.2880507612899,120000.0
-5.279595,1.1924059,5.220049,1.0,-0.17231198,-1.0,291,0.9361359,72,58.2,52,5,7.166589146867567,-106.05381545517594,-110.49675924941839,-124.49706022627652,5,7.026549618278707,1.0,0.33762124,-1.0,20000,0.8543024,1600,1600.0,1600,12,0.0,-24.248533227699227,-115.86390744502842,-174.31495053662366,12,42.54425950974158,203.0,57.88727021217346,20000.0,7.0,384.6880850791931,140000.0,345.49910415008793,140000.0
-12.258521,1.4973507,12.170384,1.0,0.049204227,-1.0,1024,0.9396067,244,204.8,178,5,22.319498202244603,-96.95874234859366,-104.81356157315604,-114.31344312081637,5,6.17543563315885,1.0,-0.053535096,-1.0,20000,0.9097553,1600,372.27777777777777,37,54,517.34809603316,-46.12178442598088,-118.33207355224907,-234.92352490196208,54,27.787160900247553,257.0,58.326762199401855,20000.0,8.0,443.07997608184814,160000.0,342.8957693832884,160000.0
-10.797045,1.6092427,10.72828,1.0,0.5862531,-1.0,8000,0.76772493,1600,1600.0,1600,5,0.0,-31.6316409309793,-39.75349386679784,-47.330709026762634,5,6.225408635368509,1.0,0.13727836,-1.0,20000,0.8946658,1600,591.969696969697,41,33,595.4032748379765,-17.703798970163916,-127.75519437421703,-264.98257868766086,33,48.64576679353087,290.0,59.94870376586914,20000.0,9.0,503.0939209461212,180000.0,333.61855625953814,180000.0
-6.325454,1.3315141,6.2539616,1.0,0.3718883,-1.0,3764,0.8403967,1600,752.8,98,5,693.9747545840554,-120.19188353535719,-143.3128810330989,-178.56209317822504,5,23.31896146438784,1.0,0.23032422,-1.0,20000,0.89232516,1600,1051.5,52,20,679.8903955785814,1.8150965598906623,-98.55472081460091,-155.81942525139084,20,39.01728209620324,310.0,58.74477696418762,20000.0,10.0,561.9118008613586,200000.0,340.45579936736385,200000.0
-3.4972038,1.3236502,3.4359815,1.0,0.006459793,-1.0,6702,0.8816861,1600,1340.4,688,5,343.0711879479243,-43.77135721650848,-105.38641075498454,-170.95665814038512,5,47.716823876672294,1.0,0.0781642,-1.0,20000,0.8675267,1600,461.0952380952381,39,42,491.1607151152893,-83.95989762363752,-122.24792591201437,-186.05581977713155,42,21.342588698513733,352.0,59.90746998786926,20000.0,11.0,621.8877489566803,220000.0,333.84818294028815,220000.0
-2.6460814,1.404329,2.5965073,1.0,0.0045075146,-1.0,5342,0.87183183,1600,1068.4,220,5,651.8728710415858,-1.973543492902536,-76.18323443196053,-126.9464266038267,5,59.5314679538855,1.0,0.108847134,-1.0,20000,0.8678965,1600,1330.7333333333333,186,15,453.13669264607364,52.61705890435405,-101.4866458841388,-213.3369705856312,15,75.5999431381196,367.0,59.117854833602905,20000.0,12.0,681.0822069644928,240000.0,338.3072686973055,240000.0
-3.3079708,1.4803439,3.2607563,1.0,0.17651923,-1.0,3513,0.8824962,1577,702.6,192,5,525.254833390422,-133.78925145071116,-163.49182822870208,-207.99895181611646,5,29.989119799965135,1.0,0.09587493,-1.0,20000,0.88257533,1600,403.54,47,50,511.2359224467702,34.96522424622526,-118.79636056409356,-176.71353039814858,50,39.10192920755678,417.0,58.55124020576477,20000.0,13.0,739.7022421360016,260000.0,341.58115062489935,260000.0
-5.085033,1.9003136,5.0387087,1.0,0.04898199,-1.0,2105,0.90262014,600,421.0,219,5,128.59704506713987,-107.12552906580095,-141.03016933287364,-175.7183126292657,5,22.86088190422226,1.0,0.0733454,-1.0,20000,0.8884935,1600,616.3333333333334,79,33,553.6146601375292,59.36210946123538,-119.29801707009767,-204.53445051878225,33,57.98600552741866,450.0,58.37130308151245,20000.0,14.0,798.1432781219482,280000.0,342.63411889350925,280000.0
-11.291692,2.333488,11.234475,1.0,0.10984234,-1.0,5712,0.92270833,1600,1142.4,434,5,560.6159469726134,-68.19108511752029,-97.19455871109248,-126.8979186358265,5,21.396461912740985,1.0,0.03074386,-1.0,20000,0.88297236,1600,944.7,98,20,567.272518283761,-9.22052604801138,-102.51742245631064,-160.73955566470977,20,32.967676190144005,470.0,59.381426095962524,20000.0,15.0,857.5900089740753,300000.0,336.8056531293014,300000.0
-9.729948,2.0862434,9.701599,1.0,0.18323691,-1.0,8000,0.933193,1600,1600.0,1600,5,0.0,123.38840598293609,93.78984734941187,48.84166195049329,5,25.63445384698474,1.0,0.2153164,-1.0,20000,0.88650435,1600,742.2758620689655,56,29,735.0541099740713,91.2402661514061,-71.57513658768816,-132.04013463272713,29,70.9994542718766,499.0,59.831406116485596,20000.0,16.0,917.4906539916992,320000.0,334.2726052779381,320000.0
-11.599154,2.2193801,11.566436,1.0,-0.01935082,-1.0,7728,0.93056196,1600,1545.6,1328,5,108.8,69.66415217649501,32.61971041376982,-63.49835030102986,5,48.550863465134654,1.0,0.35498226,-1.0,20000,0.8255729,1600,1141.0588235294117,94,17,613.7920198231775,52.13632574212215,-113.7018106063756,-208.28649282718834,17,60.4032317376131,516.0,59.85838985443115,20000.0,17.0,977.4210059642792,340000.0,334.1219175563817,340000.0
-15.217669,2.0843534,15.181394,1.0,0.097889856,-1.0,4694,0.919302,1600,938.8,421,5,437.3855964706657,36.77007485513241,-68.97402590562415,-100.93694627721561,5,53.14065146575682,1.0,0.1244746,-1.0,20000,0.8895691,1600,999.8,79,20,623.312971146919,109.29218076039251,-41.92547923358595,-116.61198965460062,20,66.75198016879769,536.0,58.89500713348389,20000.0,18.0,1036.3870680332184,360000.0,339.58736017588996,360000.0
