actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
-5.504011,1.2058502,5.072164,1.0,0.6000671,-1.0,287,0.7284978,84,57.4,50,5,13.305637902783918,-110.94582677260041,-112.74512085570022,-119.24131830781698,5,3.251020009578613,0.9999559035614456,-0.0024465180495724242,-0.9998732805583885,20000,0.5781033189948392,1600,1089.611111111111,42,18,721.8723447388503,-76.67486414028099,-91.05583871238943,-107.82104263966903,18,9.299836354152534,18.0,21.977773904800415,20000.0,1.0,21.977773904800415,20000.0,910.0102715876776,20000.0
-18.575178,3.970858,17.855057,1.0,0.19475403,-0.99999964,237,0.74142015,62,47.4,41,5,7.445804187594514,-109.31016752822325,-111.47769558934961,-118.40588694880717,5,3.5015318130605353,1.0,-0.09326178869398123,-1.0,20000,0.8574337843223973,1600,194.98076923076923,36,104,366.6981042085949,-92.0289265768672,-119.91835206442585,-197.125581335451,104,17.511204336495584,122.0,41.4436731338501,20000.0,2.0,63.46435213088989,40000.0,482.5827077490515,40000.0
-20.21254,2.9237185,19.646748,1.0,0.4187011,-1.0,5199,0.8623497,1534,1039.8,102,5,501.2809192458855,-136.18828145810403,-232.41408917140217,-284.20498617115663,5,51.69107344381151,1.0,0.12342904,-1.0,20000,0.87630695,1600,352.3090909090909,53,55,498.3689714815091,-35.47130172763718,-124.04201405786588,-189.439531674725,55,22.446703093293095,177.0,43.966713190078735,20000.0,3.0,107.49751615524292,60000.0,454.8895868912275,60000.0
-16.1116,3.1714647,15.563045,1.0,0.120803624,-1.0,540,0.905094,205,108.0,75,5,49.85178030923269,-119.60811023321003,-126.50295303836465,-146.98997675068676,5,10.471688214676721,1.0,0.051300872,-1.0,20000,0.8834677,1600,532.4473684210526,60,38,561.8062832164624,-102.8569964759954,-128.06714955128692,-220.72855826972227,38,24.271005612863604,215.0,41.07042980194092,20000.0,4.0,148.6413278579712,80000.0,486.9683637704428,80000.0
-23.44288,3.9228547,22.658854,1.0,-0.4976479,-1.0,1181,0.79091346,432,236.2,178,5,98.20468420599906,-146.36862133443356,-154.31347304875962,-171.7620546517428,5,9.229204331985166,1.0,-0.12220951,-1.0,20000,0.86664194,1600,358.3859649122807,49,57,499.557655362308,-109.46713045309298,-134.98138654087802,-227.43674094922608,57,21.10318478337016,272.0,41.642465114593506,20000.0,5.0,190.35710191726685,100000.0,480.27896391251454,100000.0
-30.07344,4.8805556,29.422775,1.0,-0.0035734877,-1.0,367,0.91992325,76,73.4,70,5,1.9595917942265424,-121.98859817907214,-124.14516446813941,-126.14029953628778,5,1.4689307844929163,1.0,-0.005430444,-1.0,20000,0.88763607,1600,1016.0,50,19,655.2108539683196,-108.08220010995865,-155.42928816787693,-249.82383682657382,19,32.60692443075571,291.0,46.725977182388306,20000.0,6.0,237.15062999725342,120000.0,428.0274315491103,120000.0
-25.5043,3.6488235,24.95115,1.0,0.25248262,-1.0,865,0.9269929,213,173.0,107,5,41.16794869798591,-125.65134030207992,-137.84179565956583,-146.17495888844132,5,7.524871523129438,1.0,-0.2788953,-1.0,20000,0.81851506,1600,984.1904761904761,129,21,617.9071912934452,-113.69635510072112,-156.9225572820495,-233.97603774358868,21,29.044236614847403,312.0,41.921518087387085,20000.0,7.0,279.1701729297638,140000.0,477.0819596348872,140000.0
-17.718676,3.1091383,17.279362,1.0,0.12674128,-1.0,3860,0.8500251,1600,772.0,340,5,438.5699488109052,-98.54680518747773,-104.77525109876296,-113.12638077605516,5,5.51765059837564,1.0,0.16880518,-1.0,20000,0.88889754,1600,357.39285714285717,70,56,406.97853043458434,-96.45055588011746,-127.21956384073681,-207.059926189424,56,21.71751411567678,368.0,42.6846878528595,20000.0,8.0,321.91886496543884,160000.0,468.5520969239131,160000.0
-15.290844,3.546112,14.776718,1.0,-0.111382976,-1.0,6171,0.88941216,1600,1234.2,698,5,380.47990748527053,-152.91283560276497,-196.76450930665015,-261.10357699129963,5,37.853274237192025,1.0,-0.05411947,-1.0,20000,0.8773425,1600,657.7586206896551,39,29,485.66950982176274,-52.15769656194607,-137.21194354464288,-260.6902785411876,29,47.14967644619124,397.0,42.746337890625,20000.0,9.0,364.73686695098877,180000.0,467.8763371770928,180000.0
-16.143251,3.6933348,15.678684,1.0,0.17660376,-1.0,8000,0.9402075,1600,1600.0,1600,5,0.0,-116.16003359898605,-125.87133483942053,-139.44565141497878,5,7.595044821254859,1.0,0.017458055,-1.0,20000,0.91176957,1600,897.7826086956521,61,23,602.4448707610002,-59.68667172077403,-142.1079391185004,-243.37543572636787,23,48.56157180645558,420.0,42.96159100532532,20000.0,10.0,407.7683300971985,200000.0,465.5321074473451,200000.0
-12.73111,3.1275241,12.334243,1.0,0.09783198,-1.0,2930,0.9354452,1600,586.0,178,5,533.810078586008,-57.51152543711214,-113.96621303036663,-138.70614679390565,5,28.777415137621105,1.0,0.07340564,-1.0,20000,0.90771544,1600,801.28,44,25,625.072893029285,-73.13013681567827,-126.20740949699321,-194.22272579145647,25,26.770821738271216,445.0,42.19058084487915,20000.0,11.0,450.0298728942871,220000.0,474.0394561888921,220000.0
-9.948327,2.7867458,9.589159,1.0,-0.14279355,-1.0,5882,0.91728324,1600,1176.4,373,5,529.5706185203254,-25.322521139431046,-83.2392154603851,-146.96546614030376,5,48.09707490422015,1.0,-0.0016685528,-1.0,20000,0.9070305,1600,858.1739130434783,232,23,486.7062905207967,-15.262027217642753,-118.06930361804122,-189.8016638495319,23,43.330731243834144,468.0,42.37392830848694,20000.0,12.0,492.4720211029053,240000.0,471.9883380742461,240000.0
-8.622016,2.704052,8.26989,1.0,0.08849112,-1.0,4545,0.9327057,1600,909.0,623,5,361.20741963586516,13.028480157765443,-94.411640507204,-139.7640779195208,5,55.11559188585605,1.0,0.052578337,-1.0,20000,0.90704,1600,852.0869565217391,139,23,555.0272153956665,-21.275301773905085,-104.54067613052328,-146.16980629124737,23,30.66317039340822,491.0,41.318504095077515,20000.0,13.0,533.8866150379181,260000.0,484.04462935004227,260000.0
-9.44226,2.5826664,9.065345,1.0,-0.0019575,-1.0,2332,0.9545424,722,466.4,270,5,179.41750193333982,-99.82486619881274,-112.52176553762293,-120.82474553294014,5,7.496179559084475,1.0,0.04168829,-1.0,20000,0.89896184,1600,900.304347826087,206,23,572.2821161069766,21.671097708313027,-85.06504323652327,-142.7528242576227,23,46.16477334445905,514.0,42.97610020637512,20000.0,14.0,576.9333930015564,280000.0,465.3749387207818,280000.0
-10.816411,2.6954532,10.457779,1.0,-0.24061617,-1.0,6736,0.94931597,1600,1347.2,336,5,505.6,-17.345538986383872,-47.605684155042944,-132.91087518818676,5,43.41425906684617,1.0,-0.016529515,-1.0,20000,0.9210586,1600,703.5555555555555,96,27,483.60087103843784,-15.509707450519727,-110.95300665996804,-172.2622522430829,27,36.32707574602454,541.0,42.665363073349,20000.0,15.0,619.6731560230255,300000.0,468.7643221415134,300000.0
-10.327107,2.7189763,9.980361,1.0,0.082749836,-1.0,5869,0.9433297,1600,1173.8,252,5,551.7174639251507,20.63522421458765,-32.34891199073972,-103.40081255827681,5,55.688884133488344,1.0,-0.042989995,-1.0,20000,0.91887426,1600,1017.75,59,20,562.9704144091411,43.249501909915125,-69.211755240631,-157.62489021848342,20,56.88044003226322,561.0,44.41919016838074,20000.0,16.0,664.1642351150513,320000.0,450.2558449216564,320000.0
-10.169481,2.5210226,9.844235,1.0,0.14639275,-1.0,2901,0.9222608,1600,580.2,148,5,524.4068649436238,30.901187019835106,-80.99466829772764,-114.56717901013326,5,56.05673238254882,1.0,0.07898525,-1.0,20000,0.90571415,1600,979.1904761904761,148,21,538.9954164526041,29.50874500365171,-70.43057438552812,-136.92890409017855,21,59.18871576846222,582.0,42.184911251068115,20000.0,17.0,706.4214470386505,340000.0,474.1031664371133,340000.0
